MAZOWIECKIE	607	343
ŚLĄSKIE	416	637
WIELKOPOLSKIE	279	381
MAŁOPOLSKIE	541	725
DOLNOŚLĄSKIE	191	529
ŁÓDZKIE	475	462
POMORSKIE	345	96
LUBELSKIE	775	518
PODKARPACKIE	722	708
KUJAWSKO-POMORSKIE	378	267
ZACHODNIOPOMORSKIE	163	147
WARMIŃSKO-MAZURSKIE	561	144
ŚWIĘTOKRZYSKIE	585	596
PODLASKIE	774	243
LUBUSKIE	100	386
OPOLSKIE	321	603
